date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:17	439232/439232	---MCZ	200	added ('OK')	text/html	etag:W/%2256e26ab38cf675fd4b0b1ed0e018dcff%22	https://uselesswebsitelogi.wixsite.com/ai4stest/aisd	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/aisd.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:18	435459/435459	---MCZ	200	added ('OK')	text/html	etag:W/%22a175d9a033a4a59c312ef0ef3b7ba3e3%22	https://uselesswebsitelogi.wixsite.com/ai4stest/call-for-papers	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/call-for-papers.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:20	425749/425749	---MCZ	200	added ('OK')	text/html	etag:W/%224b0169dd3ea66b89d703011233a75acc%22	https://uselesswebsitelogi.wixsite.com/ai4stest/important-dates	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/important-dates.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:21	423850/423850	---MCZ	200	added ('OK')	text/html	etag:W/%224339e89a80a032ce1c9caab21da1040a%22	https://uselesswebsitelogi.wixsite.com/ai4stest/keynote-speakers	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/keynote-speakers.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:22	460182/460182	---MCZ	200	added ('OK')	text/html	etag:W/%222cdac73571bc544e730715bf268008da%22	https://uselesswebsitelogi.wixsite.com/ai4stest/committee-1	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/committee-1.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:23	423998/423998	---MCZ	200	added ('OK')	text/html	etag:W/%22c72fc71d5d6affa1b75eff14d037fa46%22	https://uselesswebsitelogi.wixsite.com/ai4stest/registration	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/registration.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:26	424830/424830	---MCZ	200	added ('OK')	text/html	etag:W/%2276df264e784e0432f3a00958c98695c0%22	https://uselesswebsitelogi.wixsite.com/ai4stest/venue	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/venue.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:27	423432/423432	---MCZ	200	added ('OK')	text/html	etag:W/%2246a1fb4176d9498aa3ad1ef54aa68c40%22	https://uselesswebsitelogi.wixsite.com/ai4stest/journal-publications	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/journal-publications.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:29	423302/423302	---MCZ	200	added ('OK')	text/html	etag:W/%22b86daae843f1bcd47c6cdbc152a02648%22	https://uselesswebsitelogi.wixsite.com/ai4stest/history	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/history.html	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:29	1635/1635	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2017:40:28%20GMT	https://static.wixstatic.com/media/2bc7fc_af42f0aefe0d48d09672263a04780e6f~mv2.jpg/v1/fill/w_147,h_30,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/2bc7fc_af42f0aefe0d48d09672263a04780e6f~mv2.jpg	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_af42f0aefe0d48d09672263a04780e6f_mv2.jpg/v1/fill/w_147,h_30,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/2bc7fc_af42f0aefe0d48d09672263a04780e6f_mv2.jpg	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:30	2342/2342	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2017:40:29%20GMT	https://static.wixstatic.com/media/2bc7fc_7e2e58ede38942a58b219656d42ff1f2~mv2.jpg/v1/fill/w_187,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/2bc7fc_7e2e58ede38942a58b219656d42ff1f2~mv2.jpg	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_7e2e58ede38942a58b219656d42ff1f2_mv2.jpg/v1/fill/w_187,h_52,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/2bc7fc_7e2e58ede38942a58b219656d42ff1f2_mv2.jpg	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:30	3604/3604	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2017:40:30%20GMT	https://static.wixstatic.com/media/2bc7fc_9abdb4b2c0954a81911ea29583428e07~mv2.jpg/v1/fill/w_172,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/uat.jpg	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_9abdb4b2c0954a81911ea29583428e07_mv2.jpg/v1/fill/w_172,h_97,al_c,q_80,usm_0.66_1.00_0.01,blur_3,enc_auto/uat.jpg	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:30	17672/17672	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Mar%202024%2017:40:30%20GMT	https://static.wixstatic.com/media/2bc7fc_aad913ca1b4340aa82706cb2c574876c~mv2.png/v1/fill/w_169,h_127,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/springer.png	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_aad913ca1b4340aa82706cb2c574876c_mv2.png/v1/fill/w_169,h_127,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/springer.png	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:31	16983/16983	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Mar%202024%2017:40:30%20GMT	https://static.wixstatic.com/media/2bc7fc_ce2c9345917e4fb9bec3e85288ba1616~mv2.png/v1/fill/w_194,h_89,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/index.png	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_ce2c9345917e4fb9bec3e85288ba1616_mv2.png/v1/fill/w_194,h_89,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/index.png	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:31	15009/15009	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Mar%202024%2017:40:31%20GMT	https://static.wixstatic.com/media/2bc7fc_63860032aa8349fd9f2119197851e987~mv2.png/v1/fill/w_186,h_80,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/orkg.png	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/2bc7fc_63860032aa8349fd9f2119197851e987_mv2.png/v1/fill/w_186,h_80,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/orkg.png	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:32	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/AI4S/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:32	3026/3026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:32%20GMT	https://uselesswebsitelogi.wixsite.com/sitemap.xml	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/sitemap.18.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:33	3026/3026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:32%20GMT	https://uselesswebsitelogi.wixsite.com/feed.xml	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/feed.19.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:36	3026/3026	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:34%20GMT	https://uselesswebsitelogi.wixsite.com/${n.uri}	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/${n.1a.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:36	87934/87934	---M-Z	200	added ('OK')	application/javascript	etag:W/%222322bfedae5575ccf27f230e6d16dd8d%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.5af2c640.bundle.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.5af2c640.bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:38	202474/202474	---M-Z	200	added ('OK')	application/javascript	etag:W/%223348ae93783c42bc9876db0dd6238b95%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.f74b0c19.bundle.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/wix-thunderbolt/dist/main.f74b0c19.bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:39	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:39	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:41	10737/10737	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d86dcdbfed4c273c4742744941259902%22	https://static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/unpkg/react@18.2.0/umd/react.production.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:42	131882/131882	---M-Z	200	added ('OK')	application/javascript	etag:W/%2264141792105ea4861f9f33294d65ab81%22	https://static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/unpkg/react-dom@18.2.0/umd/react-dom.production.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:42	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:42%20GMT	https://uselesswebsitelogi.wixsite.com/decodeURIComponent(e	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/decodeURIComponent(e.21.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:43	7305/7305	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f370ea20b812382ebe915671e3e24%22	https://static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/tag-manager-client/1.827.0/siteTags.bundle.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:45	30907/30907	---M-Z	200	added ('OK')	application/javascript	etag:W/%225e646fa090a760653cfa56c727bb5a13%22	https://static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	C:/My%20Web%20Sites/AI4S/static.parastorage.com/services/wix-perf-measure/1.1095.0/wix-perf-measure.umd.min.js	(from https://uselesswebsitelogi.wixsite.com/ai4stest)
23:10:45	3027/3027	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:45%20GMT	https://uselesswebsitelogi.wixsite.com/ai4stest/robots.txt	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/robots.24.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest/workshops)
23:10:47	267/267	---M--	200	added ('OK')	text/xml	etag:W/%2210b-BKwzLpHuOLwlCMytwGG4hTlpkOQ%22	https://uselesswebsitelogi.wixsite.com/ai4stest/sitemap.xml	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/sitemap.xml	(from https://uselesswebsitelogi.wixsite.com/ai4stest/workshops)
23:10:49	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:48%20GMT	https://uselesswebsitelogi.wixsite.com/ai4stest/feed.xml	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/feed.26.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest/workshops)
23:10:49	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:49%20GMT	https://uselesswebsitelogi.wixsite.com/ai4stest/${n.uri}	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/${n.27.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest/workshops)
23:10:50	3028/3028	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2027%20Mar%202024%2017:40:49%20GMT	https://uselesswebsitelogi.wixsite.com/ai4stest/decodeURIComponent(e	C:/My%20Web%20Sites/AI4S/uselesswebsitelogi.wixsite.com/ai4stest/decodeURIComponent(e.28.delayed	(from https://uselesswebsitelogi.wixsite.com/ai4stest/workshops)
23:11:00	1201/1201	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Mar%202024%2017:41:00%20GMT	https://static.wixstatic.com/media/11062b_778064cdb3784a2e87e1cd27ae6dc6fe~mv2.jpg/v1/fill/w_132,h_74,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_778064cdb3784a2e87e1cd27ae6dc6fe~mv2.jpg	C:/My%20Web%20Sites/AI4S/static.wixstatic.com/media/11062b_778064cdb3784a2e87e1cd27ae6dc6fe_mv2.jpg/v1/fill/w_132,h_74,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_778064cdb3784a2e87e1cd27ae6dc6fe_mv2.jpg	(from https://uselesswebsitelogi.wixsite.com/ai4stest/venue)
